# AI-GENERATED NEEDS-REVIEW
# distance_convention: center_center
episode_id,scenario_id,seed,step,selected_source,selected_v_mps,selected_w_radps,selected_score,constraint_reason,candidate_total,candidate_feasible,candidate_infeasible,feasible_score_min,feasible_score_max,dynamic_window_v_min,dynamic_window_v_max,dynamic_window_w_min,dynamic_window_w_max,target_goal_kind,target_goal_x,target_goal_y,distance_to_goal_m,route_progress_from_start_m,robot_x_m,robot_y_m
bottleneck_timeout,classic_bottleneck_medium,131,0,dwa,0.16000000000000003,0.0,2.278542307695449,best_feasible,63,63,0,1.9014043397434621,2.278542307695449,0.0,0.16000000000000003,-0.30000000000000004,0.30000000000000004,next,19.98436164855957,21.539634704589844,1.9992237893303417,0.0007772106696584125,20.505605281336305,30.68999079308937
bottleneck_timeout,classic_bottleneck_medium,131,1,dwa,0.17600000075995925,0.0,2.3077978281094063,best_feasible,63,63,0,1.9135191735728652,2.3077978281094063,0.0,0.17600000075995925,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9968922653162204,0.0031087346837797014,20.505592859684214,30.687590825231084
bottleneck_timeout,classic_bottleneck_medium,131,2,dwa,0.19200000151991847,0.0,2.3357928287170053,best_feasible,63,63,0,1.913518355864694,2.3357928287170053,0.0,0.19200000151991847,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9930067532096498,0.0069942467903503225,20.505572156930686,30.683590878792124
bottleneck_timeout,classic_bottleneck_medium,131,3,dwa,0.20800000041723254,0.0,2.363787775978278,best_feasible,63,63,0,1.9135169685017492,2.363787775978278,0.0,0.20800000041723254,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9875677993503038,0.01243320064969633,20.505543173075736,30.677990953775303
bottleneck_timeout,classic_bottleneck_medium,131,4,dwa,0.22400000303983691,0.0,2.391782677131998,best_feasible,63,63,0,1.9135150133240189,2.391782677131998,0.0,0.22400000303983691,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9805761776005966,0.019424822399403574,20.50550590811933,30.670791050173843
bottleneck_timeout,classic_bottleneck_medium,131,5,dwa,0.2399999982118607,0.0,2.4197775097212646,best_feasible,63,63,0,1.913512486841073,2.4197775097212646,0.0,0.2399999982118607,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9720328986055449,0.02796810139445527,20.50546036206153,30.66199116800027
bottleneck_timeout,classic_bottleneck_medium,131,6,dwa,0.25600000083446506,0.0,2.4477722993140345,best_feasible,63,63,0,1.9135094231139005,2.4477722993140345,0.0,0.25600000083446506,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9619392219863547,0.03806177801364541,20.505406534902395,30.651591307265853
bottleneck_timeout,classic_bottleneck_medium,131,7,dwa,0.27200000345706943,0.0,2.4757670279223825,best_feasible,63,63,0,1.913505787033591,2.4757670279223825,0.0,0.27200000345706943,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.950296671774247,0.049704328225753214,20.505344426641788,30.63959146794349
bottleneck_timeout,classic_bottleneck_medium,131,8,dwa,0.2880000060796738,0.0,2.5037616948580865,best_feasible,63,63,0,1.913501609614892,2.5037616948580865,0.0,0.2880000060796738,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9371070555311498,0.06289394446885033,20.505274037279577,30.62599165000878
bottleneck_timeout,classic_bottleneck_medium,131,9,dwa,0.303999993801117,0.0,2.53175626892157,best_feasible,63,63,0,1.9134968560053116,2.53175626892157,0.0,0.303999993801117,-0.30000000000000004,0.30000000000000004,next,20.01563835144043,10.65037727355957,1.9223724875614479,0.07762851243855229,20.50519536681604,30.61079185351427
